Kód území,Region soudržnosti,Pocet celkem,Pocet muži,Pocet ženy,Prumerny vek celkem,Prumerny vek muži,Prumerny vek ženy,typ
CZ0513,Liberec,173098,85069,88029,42.2,40.9,43.5,okres
CZ0514,Semily,71662,35705,35957,43.6,42.1,45.2,okres
CZ0521,Hradec Králové,162350,79225,83125,43.6,42,45.1,okres
CZ0522,Jičín,78882,39188,39694,43.4,42,44.9,okres
CZ0523,Náchod,108475,53677,54798,43.7,42.2,45.2,okres
CZ0524,Rychnov nad Kněžnou,78533,39149,39384,42.9,41.6,44.3,okres
CZ0525,Trutnov,115965,57332,58633,43.7,42.2,45.2,okres
CZ0531,Chrudim,103748,51653,52095,43,41.5,44.4,okres
CZ0532,Pardubice,171329,84752,86577,42.8,41.3,44.3,okres
CZ0533,Svitavy,102977,50985,51992,42.8,41.5,44.1,okres
CZ0534,Ústí nad Orlicí,136359,67843,68516,42.7,41.3,44.1,okres
CZ0631,Havlíčkův Brod,93644,46492,47152,43.3,42,44.6,okres
CZ0632,Jihlava,112189,55888,56301,42.6,41.3,44,okres
CZ0633,Pelhřimov,71353,35538,35815,43.9,42.5,45.3,okres
CZ0634,Třebíč,109564,54393,55171,43.4,42,44.8,okres
CZ0635,Žďár nad Sázavou,117254,58477,58777,42.6,41.3,44,okres
CZ0641,Blansko,107750,53158,54592,42.8,41.4,44.2,okres
CZ0642,Brno-město,378244,183606,194638,42.9,41.1,44.6,okres
CZ0643,Brno-venkov,223644,110652,112992,41.2,40,42.4,okres
CZ0644,Břeclav,114677,56604,58073,43.1,41.6,44.6,okres
CZ0645,Hodonín,151746,75060,76686,43.9,42.3,45.6,okres
CZ0646,Vyškov,91767,45432,46335,42.1,40.8,43.4,okres
CZ0647,Znojmo,113388,56076,57312,42.6,41.3,43.9,okres
CZ0711,Jeseník,37097,18427,18670,44.3,42.9,45.7,okres
CZ0712,Olomouc,233837,114059,119778,42.6,41.1,44.1,okres
CZ0713,Prostějov,107746,52835,54911,43.2,41.6,44.7,okres
CZ0714,Přerov,127300,62628,64672,43.8,42.1,45.4,okres
CZ0715,Šumperk,118951,58658,60293,43.5,42,45,okres
CZ0721,Kroměříž,103862,50960,52902,43.7,42,45.3,okres
CZ0722,Uherské Hradiště,139975,68987,70988,43.7,42.1,45.3,okres
CZ0723,Vsetín,140526,69280,71246,43.2,41.5,44.9,okres
CZ0724,Zlín,189355,92955,96400,43.6,41.9,45.3,okres
CZ0801,Bruntál,90288,44905,45383,43.7,42.2,45.3,okres
CZ0802,Frýdek-Místek,212384,104895,107489,42.7,41.2,44.2,okres
CZ0803,Karviná,242449,119219,123230,43.9,42.2,45.6,okres
CZ0804,Nový Jičín,149900,74095,75805,42.5,41,43.9,okres
CZ0805,Opava,174059,85398,88661,42.9,41.3,44.4,okres
CZ0806,Ostrava-město,314360,153163,161197,43.3,41.5,45,okres
